author_id,author_name
1,Jared Morgan
2,Chris Perez
3,Cody Howard
4,Madison Brooks
5,Sophia Morris
6,Sarah Wilson
7,Grace Ramirez
8,Kaitlyn Murphy
9,Zachary Torres
10,Alex Garcia
11,Travis Sullivan
12,Hannah Moore
13,Alex Garcia
14,John Smith
15,Madison Brooks
16,Sophia Morris
17,Patrick Adams
18,Tyler Hernandez
19,Chris Perez
20,Amanda White
21,David Lee
22,Chris Perez
23,Emily Johnson
24,Rachel Evans
25,Alex Garcia
26,Hannah Moore
27,Chris Perez
28,Samantha Thomas
29,Daniel Rodriguez
30,Jessica Taylor
31,Tyler Hernandez
32,Cameron Stewart
33,Hannah Moore
34,Rachel Evans
35,Jessica Taylor
36,Megan King
37,Rachel Evans
38,Rebecca Gray
39,Nicole Hall
40,Rachel Evans
41,Victoria Roberts
42,Rebecca Gray
43,Megan King
44,Hannah Moore
45,Joshua Nguyen
46,Michael Brown
47,Rachel Evans
48,Joshua Nguyen
49,Victoria Roberts
50,Alex Garcia
